Step,Price,ManagerIncome,NbOp,NbSh
516,6.39,67.60,2,2
517,6.59,67.70,3,3
518,5.99,67.78,2,2
519,5.54,68.00,5,6
520,5.35,68.35,5,9
521,5.34,68.44,3,3
522,5.12,68.51,2,3
523,5.12,68.51,0,0
524,5.35,68.63,2,5
525,5.90,68.82,4,5
526,6.39,69.02,4,7
527,6.21,69.04,1,1
528,6.08,69.04,1,1
529,6.14,69.07,1,1
530,6.46,69.12,1,1
531,7.57,69.46,6,6
532,7.30,69.65,2,3
533,7.89,69.68,2,2
534,7.49,69.72,2,2
535,7.49,69.72,0,0
536,7.22,69.75,2,2
537,7.35,69.87,4,4
538,7.35,70.06,3,3
539,6.82,70.11,2,2
540,6.84,70.20,2,3
541,7.05,70.30,2,2
542,6.93,70.51,3,4
543,7.18,70.75,4,4
544,6.85,70.76,1,1
545,7.18,70.98,5,6
546,7.26,71.16,2,3
547,7.16,71.32,4,5
548,7.16,71.32,0,0
549,7.16,71.32,0,0
550,7.44,71.39,2,4
551,8.04,71.45,1,1
552,7.99,71.50,2,2
553,8.53,71.59,2,2
554,8.66,71.65,2,2
555,8.66,71.65,0,0
556,9.08,71.82,3,4
557,9.09,71.86,1,2
558,9.54,71.95,2,3
559,9.08,72.14,3,3
560,9.43,72.47,5,5
561,9.11,72.73,3,3
562,8.84,72.94,3,3
563,9.40,73.08,4,4
564,9.68,73.15,2,2
565,9.41,73.25,2,2
566,9.41,73.25,0,0
567,9.41,73.25,0,0
568,9.41,73.25,0,0
569,8.99,73.34,2,4
570,8.99,73.34,0,0
571,9.34,73.43,3,3
572,9.34,73.43,0,0
573,8.70,73.45,1,1
574,9.31,73.71,2,3
575,8.64,73.75,2,3
576,8.76,73.79,1,1
577,8.77,73.88,2,2
578,7.79,74.36,5,9
579,8.38,74.46,2,3
580,8.37,74.71,6,7
581,7.60,74.84,2,2
582,6.86,75.00,2,2
583,6.46,75.11,4,5
584,6.34,75.15,1,1
585,6.34,75.28,1,3
586,6.09,75.52,6,8
587,6.30,75.72,4,4
588,6.58,75.79,2,2
589,6.59,75.88,2,2
590,6.86,75.89,1,1
591,6.81,75.98,2,2
592,6.48,76.06,3,3
593,6.05,76.21,4,4
594,5.92,76.50,4,9
595,5.71,76.57,3,3
596,5.80,76.61,4,5
597,6.02,76.65,3,3
598,5.70,76.79,4,6
599,6.38,76.86,1,1
600,6.42,76.95,1,2
601,6.12,77.13,4,4
602,5.87,77.24,3,5
603,6.03,77.31,3,4
604,5.59,77.32,1,1
605,5.52,77.41,2,2
606,5.61,77.45,2,2
607,5.64,77.65,4,6
608,5.73,77.70,2,2
609,5.59,77.88,3,6
610,5.60,77.97,5,5
611,5.69,78.06,2,3
612,5.55,78.22,3,7
613,5.63,78.28,4,5
614,5.14,78.31,1,1
615,5.09,78.35,4,6
616,5.04,78.44,3,3
617,5.28,78.57,3,4
618,4.91,78.73,2,3
619,4.79,78.77,2,2
620,4.85,78.88,2,3
621,4.68,78.95,4,4
622,4.68,78.95,0,0
623,4.64,79.19,7,10
624,4.83,79.37,3,5
625,5.05,79.64,6,6
626,4.79,79.71,2,2
627,4.67,79.81,1,3
628,4.65,79.89,3,5
629,5.00,79.89,1,1
630,4.73,79.92,1,1
631,4.60,80.00,4,6
632,4.60,80.00,0,0
633,4.75,80.08,2,4
634,4.67,80.11,3,5
635,5.10,80.11,1,1
636,5.09,80.23,2,3
637,5.65,80.37,3,4
638,5.45,80.49,2,4
639,5.77,80.98,5,10
640,5.77,80.98,0,0
641,5.39,81.25,2,5
642,5.32,81.37,6,7
643,5.25,81.41,2,2
644,4.97,81.70,4,6
645,4.59,82.07,3,5
646,4.80,82.13,3,3
647,5.24,82.15,1,1
648,5.28,82.26,3,3
649,5.36,82.36,3,4
650,5.42,82.51,4,4
651,5.35,82.55,3,3
652,5.36,82.71,3,5
653,5.19,82.77,3,4
654,5.12,82.84,2,2
655,5.38,82.87,1,1
656,4.98,83.03,4,7
657,5.04,83.10,2,2
658,5.04,83.10,0,0
659,5.06,83.24,5,8
660,4.94,83.24,1,1
661,4.88,83.30,2,2
662,4.93,83.40,3,3
663,5.03,83.51,4,4
664,4.57,83.69,4,8
665,4.44,83.71,2,4
666,4.49,83.75,2,2
667,4.33,84.00,2,5
668,4.73,84.11,3,7
669,4.88,84.32,4,6
670,4.79,84.34,2,2
671,4.85,84.53,5,9
672,4.83,84.58,2,2
673,4.81,84.66,3,4
674,4.63,84.69,3,3
675,4.55,85.06,4,14
676,4.66,85.08,1,1
677,4.14,85.19,3,8
678,4.08,85.26,2,2
679,3.92,85.36,2,3
680,4.14,85.43,3,4
681,4.14,85.43,0,0
682,4.20,85.45,2,2
683,4.11,85.50,3,6
684,4.69,85.51,1,3
685,4.73,85.62,1,3
686,5.05,85.68,2,2
687,4.80,86.04,2,5
688,5.23,86.09,2,2
689,5.23,86.09,0,0
690,4.82,86.15,3,3
691,4.85,86.24,4,6
692,5.22,86.38,4,4
693,4.85,86.42,2,4
694,5.05,86.49,2,3
695,4.86,86.60,1,2
696,4.63,86.79,2,6
697,4.72,86.84,3,4
698,4.88,86.89,2,5
699,5.66,86.90,1,1
700,5.95,86.92,1,1
701,6.11,87.03,3,7
702,6.07,87.09,2,3
703,6.13,87.20,3,3
704,6.37,87.21,1,1
705,6.25,87.61,6,8
706,6.32,87.62,1,1
707,5.91,87.65,2,2
708,5.67,87.84,4,6
709,5.91,87.86,2,2
710,6.18,87.92,1,3
711,6.07,88.15,3,6
712,6.07,88.15,0,0
713,6.28,88.23,1,2
714,6.20,88.32,3,4
715,6.31,88.42,4,6
716,6.43,88.52,2,5
717,6.84,88.69,2,2
718,5.89,88.73,2,2
719,6.01,88.94,3,5
720,5.64,88.96,1,2
721,5.85,89.14,3,4
722,5.97,89.26,4,5
723,6.15,89.30,1,1
724,6.65,89.36,3,3
725,6.77,89.44,3,3
726,6.71,89.50,1,1
727,5.81,89.54,1,1
728,5.91,89.56,1,1
729,6.11,89.64,2,3
730,6.41,89.70,2,2
731,6.04,89.87,3,3
732,6.27,89.92,3,3
733,6.49,90.23,7,9
734,7.19,90.29,2,2
735,7.47,90.35,2,3
736,6.19,90.42,1,1
737,6.20,90.49,1,1
738,6.20,90.49,0,0
739,6.41,90.60,2,2
740,5.71,90.67,1,1
741,5.48,90.80,3,5
742,5.48,90.80,0,0
743,5.97,90.86,1,1
744,6.39,91.02,3,3
745,7.10,91.05,1,1
746,7.18,91.08,2,2
747,6.70,91.15,2,4
748,6.64,91.22,2,4
749,6.82,91.30,2,3
750,6.76,91.39,2,2
751,6.76,91.39,0,0
752,6.81,91.56,3,5
753,6.81,91.59,1,1
754,5.98,91.61,2,2
755,5.57,91.72,2,3
756,5.57,91.86,2,3
757,5.75,92.33,4,7
758,6.21,92.35,2,3
759,6.17,92.43,3,3
760,6.17,92.43,0,0
761,5.63,92.53,4,5
762,6.00,92.57,2,2
763,5.57,92.70,3,8
764,6.72,92.74,1,1
