Step,Price,ManagerIncome,NbOp,NbSh
585,1.93,88.00,3,5
586,1.89,88.10,6,11
587,1.99,88.25,6,12
588,1.92,88.47,8,14
589,1.94,88.59,6,10
590,2.11,88.66,4,6
591,2.17,88.74,7,9
592,2.24,88.85,6,7
593,2.31,89.02,6,12
594,2.54,89.10,2,5
595,2.59,89.15,4,5
596,2.66,89.25,6,13
597,2.68,89.41,6,11
598,2.71,89.51,4,7
599,2.62,89.74,6,13
600,2.49,89.85,5,8
601,2.33,89.86,1,1
602,2.29,89.98,5,11
603,2.27,90.10,4,11
604,2.10,90.34,6,15
605,2.10,90.34,0,0
606,2.00,90.47,4,8
607,1.95,90.68,11,22
608,1.88,90.80,6,13
609,2.04,90.86,4,7
610,2.11,91.04,6,10
611,2.11,91.11,3,9
612,2.13,91.17,4,9
613,2.30,91.25,6,7
614,2.30,91.25,0,0
615,2.27,91.38,6,12
616,2.19,91.61,5,14
617,2.15,91.75,8,12
618,2.09,92.02,7,20
619,2.22,92.10,5,8
620,2.23,92.42,7,21
621,2.08,92.52,5,12
622,2.43,92.61,2,5
623,2.34,93.00,13,26
624,2.50,93.08,5,6
625,2.30,93.31,5,10
626,2.21,93.52,7,11
627,2.35,94.06,9,27
628,2.47,94.20,8,14
629,2.49,94.39,4,9
630,2.60,94.49,4,9
631,2.50,94.72,8,16
632,2.52,95.01,9,20
633,2.49,95.08,6,7
634,2.56,95.31,8,17
635,2.53,95.43,6,6
636,2.65,95.57,8,16
637,2.60,95.67,4,7
638,2.56,96.04,7,19
639,2.44,96.14,6,13
640,2.59,96.44,10,17
641,2.45,96.61,8,15
642,2.51,96.77,7,13
643,2.24,97.00,11,23
644,2.24,97.02,4,5
645,2.25,97.12,6,7
646,2.49,97.20,5,7
647,2.44,97.27,4,6
648,2.52,97.45,8,12
649,2.33,97.47,2,2
650,2.30,97.51,4,5
651,2.22,97.69,7,10
652,2.25,97.82,5,11
653,2.15,97.86,1,3
654,2.29,98.01,5,9
655,2.17,98.10,4,9
656,2.31,98.25,4,7
657,2.36,98.34,5,8
658,2.33,98.42,4,9
659,2.33,98.59,4,11
660,2.13,98.66,3,5
661,2.10,98.72,6,10
662,2.26,98.77,5,6
663,2.28,98.88,4,8
664,2.21,99.11,5,15
665,2.24,99.23,6,13
666,2.34,99.35,8,15
667,2.40,99.51,6,11
668,2.38,99.70,9,12
669,2.46,100.00,7,16
670,2.46,100.13,5,9
671,2.18,100.22,1,4
672,2.10,100.22,1,1
673,2.02,100.33,6,9
674,2.02,100.48,7,14
675,1.98,100.77,9,21
676,1.91,100.84,2,6
677,1.77,100.90,7,9
678,1.80,101.21,9,18
679,1.86,101.25,5,5
680,1.93,101.34,7,11
681,2.00,101.45,4,9
682,2.06,101.69,8,15
683,2.09,101.84,8,19
684,2.00,101.87,3,5
685,1.90,102.00,6,12
686,1.97,102.11,6,10
687,1.90,102.19,7,12
688,1.89,102.30,9,13
689,2.01,102.47,10,17
690,2.13,102.62,6,11
691,2.17,102.64,1,1
692,2.09,102.82,4,11
693,1.88,103.05,5,13
694,1.82,103.23,7,18
695,1.72,103.37,8,14
696,1.91,103.52,7,13
697,1.95,103.54,4,4
698,2.07,103.55,3,3
699,2.03,103.61,3,4
700,1.96,103.63,3,3
701,1.94,103.67,6,12
702,2.08,103.69,4,4
703,2.27,103.80,3,5
704,2.15,103.86,4,9
705,2.07,104.02,7,12
706,1.98,104.14,5,12
707,2.05,104.24,6,11
708,2.06,104.34,4,8
709,2.05,104.64,11,29
