Step Price ManagerIncome NbOp NbSh
 230 15.87         27.07    0    0
 231 16.93         27.23    1    1
 232 17.74         27.39    1    1
 233 16.79         27.39    1    1
 234 16.24         27.50    1    1
 235 15.60         27.60    1    1
 236 15.00         27.65    2    2
 237 16.80         27.83    1    1
 238 16.76         28.09    2    4
 239 16.76         28.09    0    0
 240 18.01         28.20    1    1
 241 18.01         28.20    0    0
 242 18.01         28.20    0    0
 243 18.01         28.20    0    0
 244 19.16         28.56    4    5
 245 19.16         28.56    0    0
 246 19.16         28.56    0    0
 247 19.16         28.56    0    0
 248 19.11         28.94    2    2
 249 19.11         28.94    0    0
 250 18.73         29.10    1    1
 251 18.73         29.10    0    0
 252 18.73         29.10    0    0
 253 18.65         29.18    2    3
 254 18.65         29.18    0    0
 255 18.65         29.18    0    0
 256 18.65         29.18    0    0
 257 17.17         29.38    2    2
 258 18.04         29.42    1    1
 259 18.04         29.42    0    0
 260 17.38         29.62    1    1
 261 17.38         29.62    0    0
 262 17.50         29.64    1    1
 263 17.50         29.64    0    0
 264 17.50         29.64    0    0
 265 18.00         29.75    1    1
 266 16.77         29.85    1    2
 267 15.89         29.86    1    1
 268 15.89         29.86    0    0
 269 15.89         29.86    0    0
 270 17.02         29.90    1    1
 271 18.08         29.96    1    1
 272 20.17         30.09    1    1
 273 20.17         30.09    0    0
 274 20.17         30.09    0    0
 275 20.14         30.26    2    2
 276 20.14         30.26    0    0
 277 20.14         30.26    0    0
 278 20.14         30.26    0    0
 279 17.43         30.28    1    1
 280 17.43         30.28    0    0
 281 17.43         30.28    0    0
 282 17.64         30.32    1    1
 283 17.64         30.32    0    0
 284 16.36         30.43    1    2
 285 16.75         30.51    1    1
 286 16.75         30.51    0    0
 287 16.83         30.73    3    3
 288 16.21         30.93    2    3
 289 16.21         30.93    0    0
 290 16.18         30.96    1    1
 291 17.10         31.20    3    5
 292 17.10         31.20    0    0
 293 17.10         31.20    0    0
 294 17.10         31.20    0    0
 295 16.56         31.38    1    1
 296 16.56         31.38    0    0
 297 16.56         31.38    0    0
 298 16.42         31.54    2    2
 299 18.02         31.57    1    1
 300 18.02         31.57    0    0
 301 18.02         31.57    0    0
 302 17.91         31.88    1    1
 303 20.89         31.99    1    1
 304 20.89         31.99    0    0
 305 21.67         32.11    1    1
 306 21.67         32.11    0    0
 307 21.37         32.27    1    1
 308 23.33         32.37    1    1
 309 23.33         32.37    0    0
 310 23.33         32.37    0    0
 311 19.78         32.40    2    2
 312 20.12         32.41    1    1
 313 20.12         32.41    0    0
